Supply Line,Corridor
Asia,Asia: Far East
Asia,Asia: Western Asia
East Africa,East Africa: Upper Horn
East Africa,East Africa: Lower Horn
Global/HRD,Global/HRD
Latin America & Caribbean,Latin America: Central America
Latin America & Caribbean,Latin America: South America
Middle East,Middle East
No GCMF Supply Line,No GCMF Corridor
Southern Africa,Southern Africa
West Africa,West Africa: Eastern Area
West Africa,West Africa: Nigeria
West Africa,West Africa: Western Area
